expenses,Date,Type,Wants / Needs,cost
bol > baguio fare,"January 8, 2025",transpo,needs,316
bread,"January 8, 2025",food,wants,100
food,"January 8, 2025",food,needs,95
selecta fresh milk 1l,"January 9, 2025",food,wants,92
bread loaf,"January 9, 2025",food,needs,48
table napkins 2+1,"January 9, 2025",hygiene,convenience,58
ketchup 320g,"January 9, 2025",food,wants,29
quaker instant oats 200g foil,"January 9, 2025",food,wants,40
quaker instant oats 200g banana,"January 9, 2025",food,wants,52
mayonnaise 80ml,"January 9, 2025",snack,wants,32
tuna spread 80ml,"January 9, 2025",snack,wants,35
nissin ramen seafood x2,"January 9, 2025",food,wants,27
nissin ramen chicken x2,"January 9, 2025",food,wants,20
bacon spread 80ml,"January 9, 2025",snack,wants,35
b1t1 shampoo 200ml,"January 9, 2025",hygiene,wants,114
ladys choice peanut butter 340,"January 9, 2025",snack,wants,179
close up toothpaste 2x,"January 9, 2025",hygiene,convenience,119
12 eggs,"January 9, 2025",food,needs,125
okra,"January 9, 2025",food,needs,19
water 5l,"January 9, 2025",food,needs,105
water gallon refill,"January 9, 2025",food,needs,30
lunch,"January 10, 2025",food,needs,70
1x broccoli 1x chicken curry,"January 10, 2025",food,needs,170
lunch,"January 14, 2025",food,needs,70
broccoli takeout,"January 14, 2025",food,needs,70
water pump,"January 11, 2025",other,wants,99
"perm marker ","January 14, 2025",other,wants,19
water jug,"January 11, 2025",other,needs,159
water refill,"January 11, 2025",food,needs,50
2 meals,"January 14, 2025",food,needs,70
dumplings kapon,"January 16, 2025",other,wants,1500
,,,,
dinner x4,"January 16, 2025",food,needs,160
shawarma,"January 16, 2025",food,wants,80
trashbags xxl large 10s,"January 16, 2025",hygiene,convenience,120
nestle bearbrand 300g,"January 16, 2025",food,wants,109
milo 150g,"January 16, 2025",food,wants,49
dari creme butter 100g,"January 16, 2025",food,wants,36
mitra palm oil 485ml,"January 16, 2025",cooking,wants,70
jeep,"January 16, 2025",transpo,convenience,11
bathroom,"January 16, 2025",hygiene,needs,8
laundry,"January 18, 2025",hygiene,needs,250
jeep,"January 19, 2025",transpo,convenience,13
shawarma,"January 19, 2025",food,wants,50
bread,"January 19, 2025",food,needs,50
3x sisters overnight pads 1x pantyliners,"January 22, 2025",hygiene,needs,79
egg 12s,"January 22, 2025",food,needs,125
okra,"January 22, 2025",food,needs,14
water,"January 22, 2025",food,needs,50
1pcs gulay 1pcs pork steak,"January 24, 2025",food,needs,170
"scissors ","January 22, 2025",other,convenience,169
plastic twine,"January 22, 2025",other,convenience,99
bananas + oranges,"January 24, 2025",snack,wants,440
jeep,"January 24, 2025",transpo,wants,11
jeep,"January 24, 2025",transpo,wants,11
jeep,"January 27, 2025",transpo,convenience,11
rent,"January 27, 2025",bill,needs,7000
lunch,"January 27, 2025",food,needs,70
takeout,"January 27, 2025",food,needs,170
groceries,"January 27, 2025",food,needs,360
2500ml container,"January 28, 2025",other,needs,286
900 ml container x2,"January 28, 2025",other,wants,178
piattos sour cream 85g,"January 28, 2025",snack,wants,32
nagaraya 160g,"January 28, 2025",snack,wants,44
3pc nursery wipes 30s,"January 28, 2025",hygiene,wants,104
jeep,"January 31, 2025",transpo,convenience,11
4 potatoes,"January 31, 2025",cooking,wants,59
water,"January 31, 2025",food,needs,50
funnel,"January 31, 2025",cooking,wants,8
tupperware small,"January 31, 2025",other,wants,35
tupperware med,"January 31, 2025",other,wants,70
garlic,"January 31, 2025",cooking,wants,34
oyster sauce x2,"January 31, 2025",cooking,wants,14
onions,"January 31, 2025",cooking,wants,23
baguio beans,"January 31, 2025",cooking,wants,14
magic sarap 16x8g,"January 31, 2025",cooking,wants,65
tofu,"January 31, 2025",cooking,wants,60
chili?,"January 31, 2025",cooking,wants,42
mcc blkppr29,"January 31, 2025",other,wants,93
ecobag,"January 31, 2025",other,wants,5
nitro,"February 2, 2025",bill,wants,99
youtube premium,"January 28, 2025",bill,wants,189
calculus source,"February 2, 2025",other,wants,5
google one basic,"February 1, 2025",bill,wants,89
google one standard upgrade,"February 2, 2025",bill,wants,149
"shawarma ","February 3, 2025",snack,wants,60
honey,"February 3, 2025",snack,wants,250
blanket laundry,"February 4, 2025",hygiene,needs,250
baguio > dagupan,"February 4, 2025",transpo,needs,165
laundry,"February 3, 2025",hygiene,needs,250
"dagupan > bolinao ","February 4, 2025",transpo,needs,160
b1t1 shawarma,"February 4, 2025",snack,wants,99
bus,"January 12, 2025",transpo,needs,316
load,"January 12, 2025",bill,needs,300
cane vinegar,"February 12, 2025",cooking,needs,21
tofu,"February 12, 2025",cooking,needs,59
baguio beans,"February 12, 2025",cooking,needs,14
baby potatoes,"February 9, 2025",,,24
eggs 12s,"February 12, 2025",food,needs,113
,"January 15, 2025",,,
vegetables (???),"February 12, 2025",food,needs,14
groceries (????),"February 12, 2025",cooking,wants,17
bread,"February 12, 2025",food,needs,50
ziploc x20,"February 12, 2025",other,wants,37
containers x5,"February 12, 2025",other,wants,61
piattos,"February 12, 2025",snack,wants,34
20pcs paper,"February 14, 2025",other,wants,15
chupa chips strawberry milk,"January 15, 2025",snack,wants,45
rice 1kg,"January 14, 2025",food,needs,62
water refill,"February 15, 2025",food,needs,50
wifi,"February 15, 2025",bill,needs,699
med garbage bag 10s,"February 16, 2025",hygiene,needs,43
dove bar sensitive x3 90g,"February 16, 2025",hygiene,convenience,181
milo ppowdered choco 300g,"February 16, 2025",snack,wants,94
piattos sour cream large,"February 16, 2025",snack,wants,33
bear brand powdered 300g,"February 16, 2025",snack,wants,105
bread 500g,"February 16, 2025",food,wants,105
nagaraya 80g,"February 16, 2025",snack,wants,22
plastic container,"February 16, 2025",hygiene,wants,98
mask,"February 17, 2025",hygiene,needs,30
b1t1 shawarma,"February 19, 2025",snack,wants,130
mozza choco waffle,"February 19, 2025",snack,wants,119
"laundry ","February 20, 2025",hygiene,needs,250
shawarma,"February 20, 2025",snack,wants,80
empanada,"February 20, 2025",snack,wants,50
bag > bol,"February 20, 2025",transpo,needs,316
ughhhhhhhhhhhhhhh manila,"February 20, 2025",other,wants,3000
money for mama,"February 22, 2025",other,wants,1000
plasticware,"February 15, 2025",other,,
rent,"March 2, 2025",bill,needs,7000
shawamra,"March 7, 2025",snack,wants,60
shawarma,"March 4, 2025",snack,wants,50
iced coffe + donut (dunkin),"March 4, 2025",snack,wants,120
3x egg,"March 4, 2025",food,needs,30
2x onion,"March 4, 2025",food,needs,20
2x great taste white caramel,"March 2, 2025",snack,wants,28
mitra palm oil 485ml,"March 7, 2025",food,needs,70
2x great taste white caramel,"March 7, 2025",food,wants,16
cheezy corn crunch 70g,"March 7, 2025",snack,wants,26
knorr chicken 12x,"March 7, 2025",food,needs,69
egg 12s,"March 7, 2025",food,needs,113
piattos sour cream 85g,"February 28, 2025",snack,wants,47
ladys choice bacon 27ml,"February 28, 2025",food,wants,18
tiongsan porkchop 3/4kg,"March 4, 2025",food,needs,129
jolly mushrooms 198g,"March 4, 2025",food,wants,34
rebisco hansel cracker 12s,"March 4, 2025",snack,wants,57
bread loaf,"March 4, 2025",food,needs,48
colgate plax mouthwash 250ml,"March 4, 2025",hygiene,wants,90
eco bag,"March 4, 2025",other,wants,10
"garlic ","March 4, 2025",food,needs,32
cassava cake,"March 13, 2025",snack,wants,20
nagaraya 160g,"March 10, 2025",snack,wants,44
30g cinnamon,"March 10, 2025",snack,wants,12
curry seasoning 40g,"March 10, 2025",food,needs,34
cocomilk 200ml,"March 10, 2025",food,needs,30
1kilo quarter leg chicken,"March 10, 2025",food,needs,160
2x chilimansi pancit canton,"March 10, 2025",snack,wants,28
nescafe classic 23g,"March 10, 2025",snack,wants,24
petroleum jelly apollo 50g,"March 10, 2025",hygiene,wants,63
datu puti patis 150ml,"March 10, 2025",food,needs,14
bread,"March 10, 2025",food,needs,62
bell pepper,"March 10, 2025",food,needs,30
ginger,"March 10, 2025",food,wants,36
potato,"March 10, 2025",food,needs,40
carrot,"March 10, 2025",food,needs,35
