expenses,cost,Date,Type,Wants / Needs
cassava cake,20.0,13/03/2025,Snack,Want
2x chilimansi pancit canton,28.0,10/03/2025,Snack,Want
cocomilk 200ml,30.0,10/03/2025,Food,Need
datu puti patis 150ml,14.0,10/03/2025,Food,Need
nagaraya 160g,44.0,10/03/2025,Snack,Want
30g cinnamon,12.0,10/03/2025,Snack,Want
curry seasoning 40g,34.0,10/03/2025,Food,Need
ginger,36.0,10/03/2025,Food,Want
potato,40.0,10/03/2025,Food,Need
nescafe classic 23g,24.0,10/03/2025,Snack,Want
bell pepper,30.0,10/03/2025,Food,Need
1kilo quarter leg chicken,160.0,10/03/2025,Food,Need
carrot,35.0,10/03/2025,Food,Need
petroleum jelly apollo 50g,63.0,10/03/2025,Hygiene,Want
bread,62.0,10/03/2025,Food,Need
cheezy corn crunch 70g,26.0,07/03/2025,Snack,Want
egg 12s,113.0,07/03/2025,Food,Need
knorr chicken 12x,69.0,07/03/2025,Food,Need
mitra palm oil 485ml,70.0,07/03/2025,Food,Need
shawamra,60.0,07/03/2025,Snack,Want
2x great taste white caramel,16.0,07/03/2025,Food,Want
3x egg,30.0,04/03/2025,Food,Need
garlic ,32.0,04/03/2025,Food,Need
colgate plax mouthwash 250ml,90.0,04/03/2025,Hygiene,Want
bread loaf,48.0,04/03/2025,Food,Need
jolly mushrooms 198g,34.0,04/03/2025,Food,Want
eco bag,10.0,04/03/2025,Other,Want
shawarma,50.0,04/03/2025,Snack,Want
iced coffe + donut (dunkin),120.0,04/03/2025,Snack,Want
2x onion,20.0,04/03/2025,Food,Need
tiongsan porkchop 3/4kg,129.0,04/03/2025,Food,Need
rebisco hansel cracker 12s,57.0,04/03/2025,Snack,Want
2x great taste white caramel,28.0,02/03/2025,Snack,Want
rent,7000.0,02/03/2025,Bill,Need
ladys choice bacon 27ml,18.0,28/02/2025,Food,Want
piattos sour cream 85g,47.0,28/02/2025,Snack,Want
money for mama,1000.0,22/02/2025,Other,Want
shawarma,80.0,20/02/2025,Snack,Want
empanada,50.0,20/02/2025,Snack,Want
ughhhhhhhhhhhhhhh manila,3000.0,20/02/2025,Other,Want
bag > bol,316.0,20/02/2025,Transpo,Need
laundry ,250.0,20/02/2025,Hygiene,Need
mozza choco waffle,119.0,19/02/2025,Snack,Want
b1t1 shawarma,130.0,19/02/2025,Snack,Want
mask,30.0,17/02/2025,Hygiene,Need
plastic container,98.0,16/02/2025,Hygiene,Want
med garbage bag 10s,43.0,16/02/2025,Hygiene,Need
nagaraya 80g,22.0,16/02/2025,Snack,Want
milo ppowdered choco 300g,94.0,16/02/2025,Snack,Want
piattos sour cream large,33.0,16/02/2025,Snack,Want
dove bar sensitive x3 90g,181.0,16/02/2025,Hygiene,Want
bread 500g,105.0,16/02/2025,Food,Want
bear brand powdered 300g,105.0,16/02/2025,Snack,Want
water refill,50.0,15/02/2025,Food,Need
wifi,699.0,15/02/2025,Bill,Need
plasticware,,15/02/2025,Other,
20pcs paper,15.0,14/02/2025,Other,Want
piattos,34.0,12/02/2025,Snack,Want
baguio beans,14.0,12/02/2025,Food,Need
bread,50.0,12/02/2025,Food,Need
cane vinegar,21.0,12/02/2025,Food,Need
groceries (????),17.0,12/02/2025,Food,Want
vegetables (???),14.0,12/02/2025,Food,Need
tofu,59.0,12/02/2025,Food,Need
containers x5,61.0,12/02/2025,Other,Want
eggs 12s,113.0,12/02/2025,Food,Need
ziploc x20,37.0,12/02/2025,Other,Want
blanket laundry,250.0,04/02/2025,Hygiene,Need
b1t1 shawarma,99.0,04/02/2025,Snack,Want
baguio > dagupan,165.0,04/02/2025,Transpo,Need
dagupan > bolinao ,160.0,04/02/2025,Transpo,Need
honey,250.0,03/02/2025,Snack,Want
shawarma ,60.0,03/02/2025,Snack,Want
laundry,250.0,03/02/2025,Hygiene,Need
google one standard upgrade,149.0,02/02/2025,Bill,Want
nitro,99.0,02/02/2025,Bill,Want
calculus source,5.0,02/02/2025,Other,Want
google one basic,89.0,01/02/2025,Bill,Want
